#Cfactor 0.328430293
Recipient Japanese1 Japanese2 Japanese3 Japanese4 Japanese5 Japanese6 Japanese7 Japanese8 Japanese9 Japanese10 Japanese11 Japanese12 Japanese13 Japanese14 Japanese15 Japanese16 Japanese17 Japanese18 Japanese19 Japanese20 Japanese21 Japanese22 Japanese23 Japanese24 Japanese25 Han1 Han2 Han3 Han4 Han5 Han6 Han7 Han8 Han9 Han10 Han11 Han12 Han13 Japanese26 Japanese27 Han14 Han15 Han16 Han17 Han18 Han19 Han20 Han21 Han22 Han23 Han24 Japanese28 Han25 Han26 Han27 Han28 Han29 Han30 Han31 Han32 Han33 Han34 Tujia1 Tujia2 Tujia3 Tujia4 Tujia5 Tujia6 Tujia7 Tujia8 Tujia9 Tujia10 Yi1 Yi2 Yi3 Yi4 Yi5 Yi6 Yi7 Yi8 Yi9 Yi10 Miao1 Miao2 Miao3 Miao4 Miao5 Miao6 Miao7 Miao8 Miao9 Miao10 Han.NChina1 Han.NChina2 Han.NChina3 Han.NChina4 Han.NChina5 Han.NChina6 Han.NChina7 Han.NChina8 Han.NChina9 Han.NChina10 Dai1 Dai2 Dai3 Dai4 Dai5 Dai6 Dai7 Dai8 Dai9 Dai10 She1 She2 She3 She4 She5 She6 She7 She8 She9 She10 Naxi1 Naxi2 Naxi3 Naxi4 Naxi5 Naxi6 Naxi7 Naxi8 Tu1 Tu2 Tu3 Tu4 Tu5 Tu6 Tu7 Tu8 Tu9 Tu10
Japanese1 0 430.850147 424.184082 437.927928 456.259128 420.493671 431.360837 444.647383 440.376827 441.338176 459.435285 447.056992 435.549318 435.647421 441.878279 425.238819 440.160335 430.242191 426.986852 434.14231 429.477504 435.206876 435.115126 436.97889 432.101242 358.491487 398.022045 365.516318 391.129368 371.818957 391.843088 378.435521 375.474244 377.877374 388.53577 381.440137 368.854692 379.479568 432.817317 455.388271 373.476334 362.671565 382.711187 375.360085 381.271513 375.946833 369.604502 384.007321 372.633159 374.162614 370.371089 453.061285 367.909389 374.605967 395.070875 376.115342 358.749128 372.941551 387.195288 378.447954 372.255557 383.936387 375.93746 380.270084 383.928716 375.460078 398.405567 372.761113 379.429937 375.232729 367.431138 364.60055 365.791323 371.675721 385.047038 391.242424 361.318933 363.341249 376.603789 379.884313 368.877399 357.127572 354.864191 362.145747 379.917582 369.822472 367.989402 380.171253 364.798342 352.940673 369.233214 352.877808 398.807604 384.72541 386.379474 393.618088 365.96746 382.578159 375.44878 385.243966 387.26217 391.882085 352.531635 359.219933 365.81039 363.731561 351.529874 381.659218 360.110623 352.408489 364.974439 359.866921 363.594807 383.167897 379.625788 351.563749 387.469128 373.863795 365.444546 360.621153 368.004748 370.247535 371.506534 380.17712 376.143329 357.120678 382.372138 378.968642 385.057268 364.537026 374.345712 367.880748 384.12912 369.863595 378.802933 366.964551 392.440138 388.00865 373.855187 381.780791
Japanese2 437.15674 0 434.747926 437.383482 420.872744 405.773021 443.840933 419.24161 441.564587 438.150601 442.721099 425.410159 457.773188 426.292799 437.191202 436.022103 397.072959 434.293239 430.618785 450.932991 425.916404 403.679964 433.059786 428.348194 444.726521 375.664454 392.777485 354.473857 371.133624 372.846159 383.385127 382.565256 361.272365 395.400378 392.468635 377.439156 379.445301 390.927159 428.406683 440.687036 364.578265 359.842655 385.310085 373.227519 375.60837 381.559093 385.034541 368.771489 370.82838 359.418555 376.84796 424.510208 380.321524 377.312126 390.562988 361.120789 373.383252 380.01349 377.107168 377.139155 373.691347 374.98543 359.838518 379.835913 375.118578 389.907958 389.556599 379.809123 369.820758 387.824259 369.329785 375.520038 373.799749 382.450578 378.484978 355.746707 377.706081 362.683766 383.532457 368.683672 381.040228 363.833392 376.732229 397.435023 364.909509 390.193277 382.761219 370.336295 364.169143 395.300641 369.131392 365.462198 395.367224 377.583804 389.306517 373.561785 385.090155 364.249075 382.574299 385.449153 392.654243 377.223829 367.026913 362.101957 360.151007 371.27297 344.1269 376.12126 369.922697 338.219613 368.988091 362.979605 368.663485 381.779559 368.858804 382.887194 378.808038 380.594704 380.413292 393.934029 374.136703 367.511827 391.353336 385.925625 385.939445 368.957083 371.601884 369.96944 379.77212 369.341012 380.376067 383.598235 383.589922 364.495207 378.815822 380.055067 390.945603 379.005185 383.845335 375.574471
Japanese3 423.95584 443.191166 0 433.176627 439.641268 419.940303 443.65056 450.389547 435.111503 431.863875 440.681921 427.831837 449.824011 432.94684 461.700573 420.496083 424.889321 442.771619 431.821619 449.423287 448.770859 434.126766 438.921523 465.894544 445.119648 377.960309 379.036013 367.257636 386.951105 391.586366 381.83208 373.790096 377.312992 371.336374 377.223864 370.397349 367.707973 392.188295 456.921695 446.287638 370.796861 376.437829 384.321923 390.556577 399.681862 372.585572 388.434196 367.221137 365.746628 370.610394 377.728856 451.228595 374.804964 378.418642 373.471688 363.337291 375.280485 391.606932 384.413855 375.672535 389.736523 388.531784 391.734618 373.594336 380.813689 378.348552 391.605371 399.921178 369.014698 375.238727 389.638563 384.62714 384.582788 367.340138 385.794872 366.822006 371.861793 369.930135 378.552574 367.234261 384.460089 370.866728 374.132559 396.527399 378.83504 365.849956 387.33398 369.962218 349.650019 368.23696 367.52436 369.102092 374.64775 377.984873 372.519757 388.06627 370.344336 379.381725 384.655345 381.773387 400.799404 377.567646 378.233974 364.043232 356.367355 354.348738 372.476854 362.501161 388.78166 358.723949 360.45069 364.552727 376.031699 369.333271 373.464329 385.418248 372.759271 381.565702 380.895568 367.55126 369.456633 362.346408 373.351411 359.376702 393.31706 373.97457 386.350656 377.371995 373.320136 380.798911 396.369294 378.247261 369.340517 382.394733 371.65751 379.750007 378.816114 379.197365 387.989017 379.799658
Japanese4 438.425681 443.641479 436.471915 0 428.816 439.43156 448.12965 445.034031 429.585345 416.954002 410.114091 427.830188 462.481279 446.476627 419.040727 426.90853 443.091642 443.175194 422.041843 434.5693 428.754913 441.415296 439.023587 471.608905 441.984537 385.785173 388.430586 365.267887 376.47577 376.840559 395.918745 374.859335 355.729416 360.418975 378.62683 379.801335 380.326399 372.009366 438.170148 430.523454 372.84027 375.810361 384.517449 369.767503 385.574602 369.503215 374.665464 381.472397 379.709459 372.185888 379.030512 430.00979 394.605107 380.235451 368.641371 381.291562 364.646151 364.448852 386.481305 380.130894 380.028762 371.1327 360.048134 368.36318 385.649131 378.886738 372.458521 392.459389 375.246607 382.337279 364.083624 396.363622 372.83587 377.386885 380.839172 375.247055 374.608842 371.682713 380.042661 376.771815 372.694895 386.003156 375.463367 391.07324 354.9147 364.383477 374.022142 377.123764 363.80823 364.04979 362.204752 384.862207 392.138264 379.10905 392.329002 372.269665 381.963744 375.147688 382.349876 372.97434 383.569525 389.772086 365.950462 375.051808 363.785005 353.919491 367.558147 373.059138 365.759512 365.419287 376.841279 353.569623 370.405081 372.24039 379.994947 371.129607 367.222246 375.882548 367.339228 378.420546 385.089342 369.296334 382.673819 372.570362 375.826336 371.607442 382.527818 374.481818 370.669233 380.365468 371.579046 375.147143 376.062891 368.455268 367.399879 377.243878 375.021563 378.410546 376.104735 376.236846
Japanese5 463.19773 433.149624 444.033534 430.815627 0 423.302204 437.910733 428.529079 430.806618 424.946058 423.977148 432.759664 426.447422 435.656692 458.497416 421.423058 438.777555 441.747601 445.955548 431.121951 445.890066 415.477136 436.610129 439.996375 451.985131 386.93213 375.448261 372.354152 377.324944 373.378073 392.159704 374.371577 376.523748 389.642031 386.964263 382.645394 371.862733 383.905269 432.946239 426.592009 371.747667 372.42953 374.220937 388.712268 392.756071 365.732682 383.979693 376.914938 365.16959 374.256413 372.875475 441.346659 400.280069 382.655438 378.32116 385.421269 388.732181 373.300034 387.517415 383.742493 397.23075 383.460215 379.430003 383.42293 384.326644 360.451999 381.549805 391.719291 373.13957 377.623518 379.828075 377.441328 370.573702 362.00249 376.840425 369.85087 372.422104 362.231468 378.051413 380.997218 381.775894 360.409092 371.088641 379.350821 375.827992 386.020547 390.517608 364.986096 382.478213 367.606997 359.919395 357.966518 375.811944 403.106008 374.083493 392.851456 379.057212 365.75829 386.68503 398.971876 377.776865 400.489892 361.942041 362.289532 358.241454 355.002061 374.415807 362.104612 381.357331 366.139676 369.63208 381.144844 370.836615 367.538469 361.845981 374.084636 376.434736 371.047989 376.660257 371.597383 372.778657 381.650388 383.993232 375.509832 376.372292 396.800966 368.702146 373.32865 384.068372 365.762347 377.087755 368.223846 385.147967 364.648297 381.38456 380.081828 383.072985 361.862369 376.628866 393.920239
Japanese6 428.87373 408.736388 413.180396 438.873351 419.59727 0 413.200093 424.835657 441.743154 424.778712 426.944534 408.668314 409.29695 432.679779 441.49421 436.892302 425.806198 434.313233 418.550202 430.7 437.591778 417.535823 432.103462 398.33921 430.763165 391.797977 384.201015 365.688327 388.010033 372.170608 387.809175 367.648076 368.483249 384.249993 391.213105 371.446456 367.955455 377.312542 431.154215 434.024652 371.51547 374.704299 367.606373 401.54462 393.988954 372.357469 379.679001 380.937011 371.58508 373.891076 388.703601 424.029165 387.212356 371.142273 389.822544 388.551788 377.620849 380.144077 390.666873 378.230877 392.773443 392.184746 373.614756 380.993042 374.165441 381.281296 383.429982 382.764586 383.979354 367.990567 376.693882 412.177732 374.474191 381.078652 377.806653 380.802475 368.968897 384.530287 368.697207 375.710991 381.521321 372.318378 382.128799 367.92262 380.066908 355.938802 389.19467 376.577379 384.647661 368.871128 359.744602 378.090501 370.404541 382.550095 379.366598 399.913288 387.439264 389.266964 411.341885 386.526398 370.428638 375.834926 373.150234 377.90407 362.368603 344.048676 363.673982 363.431213 364.909808 364.809979 383.990857 368.083134 381.482148 378.89421 379.746403 361.934286 384.505293 366.981718 373.520491 381.197773 382.13083 371.543645 375.866381 372.45769 370.326959 377.924558 369.892355 381.043647 371.876032 384.284824 373.82031 354.787943 373.87008 366.088891 373.499299 369.686115 377.996434 380.089167 374.550746 371.184008
Japanese7 442.419836 453.607111 449.453827 446.094242 440.24465 422.642115 0 435.471957 424.843608 436.997899 426.851172 429.245985 436.587015 411.93745 445.46918 412.96441 434.468182 431.440912 442.693796 436.672866 448.550826 416.774511 414.163994 451.923298 433.836509 380.267333 407.175003 368.10063 387.340425 382.770518 380.546463 386.294876 382.634683 399.177804 388.62152 379.779964 373.327392 380.760486 432.678717 418.848983 389.528519 361.821231 385.383099 375.349124 384.475021 376.351156 408.929721 381.681458 370.499788 360.652509 371.776793 469.940961 395.093971 388.682491 357.94268 375.070237 361.184958 383.539544 366.463551 384.42959 388.856422 380.859151 367.871272 386.934547 372.901774 372.684806 380.293892 387.021881 370.817212 376.217918 376.125341 397.383234 363.174237 362.106532 374.812684 387.054795 353.399886 368.996897 377.230098 376.053138 385.189387 378.035845 373.350358 382.869543 366.809949 373.621343 380.286542 357.772431 363.537628 362.185264 372.102557 373.501416 371.216766 379.161231 389.316919 393.102823 395.208851 384.337896 392.561316 380.522848 393.025306 387.807375 360.194388 369.643636 366.386101 365.112604 365.570594 373.117774 365.009357 351.114467 367.587548 361.664347 362.535824 387.353614 371.335821 375.176566 371.12658 373.991478 377.74219 383.524678 382.251036 369.95528 366.49702 385.32626 384.54672 371.059132 363.894161 378.954689 367.298763 382.882365 373.350825 373.422054 377.922393 372.624001 382.79595 367.3767 365.586341 370.503933 361.436286 372.706043
Japanese8 445.274862 414.219453 446.936063 451.306044 418.809972 426.598684 427.008855 0 434.714592 447.377838 450.790213 417.539375 416.924316 420.216292 440.552941 425.848297 434.399646 412.469505 426.830024 445.833046 447.152705 417.223403 436.827517 436.416288 427.787379 369.495695 391.122806 362.462373 396.666645 378.825207 389.967394 373.910387 375.842772 373.250978 372.617644 385.89439 374.877249 376.906624 433.928161 427.04087 383.962939 384.231532 363.784155 378.524882 395.230952 378.549398 379.862773 368.86546 386.320673 376.848312 380.161114 450.975528 379.069574 370.713745 378.089238 395.97517 372.110985 399.831395 383.75357 386.515061 391.358997 378.354646 385.883925 368.130559 375.851899 373.892569 383.76144 368.001941 374.284027 365.671403 385.534304 376.474558 387.785511 392.382981 371.477273 375.527889 382.582474 395.74325 376.363065 361.380568 354.736792 370.71124 378.306833 377.737324 378.749872 354.298073 375.730282 366.265747 394.873972 373.562515 363.035732 373.005494 368.123868 385.460545 381.34302 376.93295 401.373429 402.191466 372.881468 368.625828 360.804399 373.9337 353.655067 369.783411 349.5524 349.321584 366.621864 357.945977 382.266526 369.002987 353.720949 364.105029 368.766684 375.842686 375.194279 375.23407 387.257638 368.113448 373.026388 373.270617 371.226539 378.599886 378.750853 378.96758 361.027348 368.287696 371.483716 369.264948 367.811659 360.139426 377.754663 378.548645 382.342901 373.987404 367.732848 376.964013 373.785011 362.246748 368.716622 375.953911
Japanese9 447.080165 439.284213 422.860074 429.096359 429.388707 437.745906 418.850333 431.899204 0 447.481797 450.712564 455.735234 447.244762 436.710868 435.084971 444.959041 441.118921 437.521492 442.910762 431.754096 427.545264 435.580176 433.325069 432.049528 435.621639 375.75924 392.697134 371.610589 370.28136 377.042978 373.617008 362.82687 369.498671 387.038532 385.458015 376.756325 382.771091 382.391018 429.637924 425.831436 390.898899 373.655963 362.10948 383.036724 393.448044 361.895244 366.87091 388.188829 357.548958 378.725689 369.119018 430.371817 379.399505 376.736923 375.003759 364.166888 369.005671 396.03382 387.351143 369.522799 371.045479 372.836778 371.895073 379.958989 367.095763 372.236045 371.837606 386.99229 375.134469 373.025266 375.247721 375.14608 378.215668 373.942431 374.64954 387.070244 376.681942 376.139555 359.515333 371.67884 378.567401 395.679142 374.297462 356.027166 373.969222 373.379142 378.912292 379.888356 374.415029 367.414853 384.084041 384.939884 373.714229 378.477804 378.898072 380.213022 391.696128 384.256492 391.380021 373.885118 378.768195 400.418981 374.24931 356.949621 363.886776 374.975735 376.571847 369.485438 369.978838 359.799074 363.558221 368.622143 366.874336 380.797734 371.466304 365.705753 375.686903 372.116309 373.233595 377.286206 387.267594 369.936337 366.269476 368.69378 379.205452 369.750503 379.499676 373.058442 374.640966 365.437507 372.161995 380.288593 374.767205 382.126049 384.103064 391.337287 379.009687 378.684401 385.275186 385.493657
Japanese10 440.219697 440.364023 421.427664 426.883617 438.069428 429.406872 440.756808 436.644411 441.118734 0 456.368377 450.153705 463.689629 418.386668 436.671095 435.868497 432.901873 418.642884 429.625141 419.136283 453.599762 456.05808 428.62685 450.589306 443.38717 371.158773 367.537373 379.54807 378.655267 354.888408 378.492954 387.109476 379.900345 384.544574 370.459228 367.303255 372.077796 375.314746 433.866304 416.855804 367.3936 388.495409 386.150371 387.41987 390.507427 361.31522 381.906982 383.401292 369.480698 376.144836 372.974793 432.582226 382.155644 383.11048 395.240713 373.322917 369.637849 372.876846 404.53483 376.791277 375.551468 398.584801 379.060893 365.038541 370.952394 375.453133 377.5732 386.672111 369.719429 383.495364 370.647872 375.782507 373.852299 379.840445 382.773268 376.613885 378.70619 380.771315 381.058349 375.64243 374.484014 357.722935 392.471063 367.088517 374.363319 384.031492 372.424772 359.754337 361.736708 380.719677 369.193729 364.182691 387.605699 382.86651 390.664997 384.59432 393.833982 385.719809 386.01017 391.47395 391.367395 385.49538 372.281354 380.153502 366.059044 373.801025 367.410405 350.205074 367.911855 363.840442 350.240829 346.461628 363.060689 375.301107 384.124214 380.057512 369.43127 365.171448 377.225594 369.989483 357.744236 356.383039 387.334834 370.267335 371.150849 371.355576 376.056434 369.014075 385.069389 378.196101 377.226341 381.764657 392.434769 381.759332 373.027459 381.301813 377.87868 378.658667 380.299555 368.745537
