

----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "mainparams".
datafile is
locprior.str
Reading file "extraparams".
Reading file "locprior.str".


Data file "locprior.str" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1:     1   19  :  2   3   3   1   2   2   1  . . . .   2
  1:     1   19  :  2   1   1   1   1   2   1  . . . .   3
  2:     2    1  :  2   3   3   1   1   3   1  . . . .   3
  2:     2    1  :  0   0   0   1   1   3   1  . . . .   3
  3:     3   20  :  0   0   0   1   3   3   1  . . . .   2
  3:     3   20  :  3   3   3   1   3   3   1  . . . .   2
  4:     4    4  :  2   3   3   1   3   2   1  . . . .   0
  4:     4    4  :  2   3   0   1   3   2   1  . . . .   2

      *******   

 99:    99    5  :  3   1   0   1   3   3   2  . . . .   2
 99:    99    5  :  2   1   1   1   1   3   1  . . . .   2
100:   100   18  :  0   1   0   1   1   2   1  . . . .   3
100:   100   18  :  0   1   3   1   2   2   2  . . . .   3

Number of alleles per locus: min= 2; ave=3.5; max= 4


--------------------------------------

Finished initialization; starting MCMC 
20000 iterations + 10000 burnin


 Rep#:   Lambda   Alpha      F1       Ln Like 
  100:    1.00    1.193    0.042      --  
  200:    1.00    1.503    0.005      --  
  300:    1.00    1.732    0.019      --  
  400:    1.00    2.179    0.010      --  
  500:    1.00    2.334    0.073      --  
  600:    1.00    2.307    0.060      --  
  700:    1.00    2.224    0.031      --  
  800:    1.00    2.309    0.010      --  
  900:    1.00    2.216    0.053      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 1000:    1.00    2.254    0.012      --  
 1100:    1.00    2.146    0.004      --  
 1200:    1.00    1.875    0.004      --  
 1300:    1.00    1.576    0.001      --  
 1400:    1.00    1.513    0.001      --  
 1500:    1.00    1.507    0.001      --  
 1600:    1.00    1.650    0.001      --  
 1700:    1.00    1.685    0.001      --  
 1800:    1.00    1.646    0.002      --  
 1900:    1.00    1.724    0.001      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 2000:    1.00    1.645    0.001      --  
 2100:    1.00    1.486    0.004      --  
 2200:    1.00    1.932    0.003      --  
 2300:    1.00    1.925    0.002      --  
 2400:    1.00    1.757    0.002      --  
 2500:    1.00    1.864    0.002      --  
 2600:    1.00    1.759    0.002      --  
 2700:    1.00    1.519    0.002      --  
 2800:    1.00    1.783    0.002      --  
 2900:    1.00    1.471    0.002      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 3000:    1.00    1.498    0.002      --  
 3100:    1.00    1.523    0.002      --  
 3200:    1.00    1.448    0.002      --  
 3300:    1.00    1.369    0.001      --  
 3400:    1.00    1.457    0.002      --  
 3500:    1.00    1.729    0.001      --  
 3600:    1.00    1.219    0.001      --  
 3700:    1.00    1.459    0.001      --  
 3800:    1.00    1.377    0.001      --  
 3900:    1.00    1.274    0.000      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 4000:    1.00    1.137    0.000      --  
 4100:    1.00    1.096    0.000      --  
 4200:    1.00    0.945    0.000      --  
 4300:    1.00    0.959    0.000      --  
 4400:    1.00    0.968    0.000      --  
 4500:    1.00    0.822    0.000      --  
 4600:    1.00    1.080    0.000      --  
 4700:    1.00    1.330    0.000      --  
 4800:    1.00    0.788    0.000      --  
 4900:    1.00    0.197    0.000      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 5000:    1.00    0.125    0.000      --  
 5100:    1.00    0.310    0.000      --  
 5200:    1.00    0.426    0.000      --  
 5300:    1.00    0.626    0.000      --  
 5400:    1.00    0.006    0.000      --  
